product_name,product_price,product_url
"comet 遮蔽膠帶 20mm*20m, 5件",$125,https://www.tw.coupang.com/products/comet-%E9%81%AE%E8%94%BD%E8%86%A0%E5%B8%B6-20mm*20m-21006904780296?itemId=21016618624162&vendorItemId=21083803233670&sourceType=search&rank=&searchId=b742d333ad4b4518b46a6ac65cd80b96&q=%E6%B2%B9%E6%BC%86%E8%86%A0%E5%B8%B6
"3M 覆蓋膠帶, 1個",$89,https://www.tw.coupang.com/products/3M-%E8%A6%86%E8%93%8B%E8%86%A0%E5%B8%B6-21008135719967?itemId=21023110222864&vendorItemId=21090143473119&sourceType=search&rank=1&searchId=b742d333ad4b4518b46a6ac65cd80b96&q=%E6%B2%B9%E6%BC%86%E8%86%A0%E5%B8%B6
"3M Scotch 防水布膠帶 2048D 48mm x 15yd, 黑色, 2捲",$148,https://www.tw.coupang.com/products/3M-Scotch-%E9%98%B2%E6%B0%B4%E5%B8%83%E8%86%A0%E5%B8%B6-2048D-48mm-x-15yd-154782505320451?itemId=412493511852043&vendorItemId=412493511884807&sourceType=search&rank=2&searchId=b742d333ad4b4518b46a6ac65cd80b96&q=%E6%B2%B9%E6%BC%86%E8%86%A0%E5%B8%B6
"Tamsaa 美紋膠帶 48mm x 20m, 3個",$133,https://www.tw.coupang.com/products/Tamsaa-%E7%BE%8E%E7%B4%8B%E8%86%A0%E5%B8%B6-48mm-x-20m-21007773823398?itemId=21020994396159&vendorItemId=21088058737025&sourceType=search&rank=3&searchId=b742d333ad4b4518b46a6ac65cd80b96&q=%E6%B2%B9%E6%BC%86%E8%86%A0%E5%B8%B6
"3M Scotch 強力防水膠帶 2048W 大, 白色, 2個",$109,https://www.tw.coupang.com/products/3M-Scotch-%E5%BC%B7%E5%8A%9B%E9%98%B2%E6%B0%B4%E8%86%A0%E5%B8%B6-2048W-%E5%A4%A7-154783298060288?itemId=412493490880520&vendorItemId=412493490896901&sourceType=search&rank=4&searchId=b742d333ad4b4518b46a6ac65cd80b96&q=%E6%B2%B9%E6%BC%86%E8%86%A0%E5%B8%B6
"3M Scotch 強力防水膠帶 2048R, 大紅色, 4個",$221,https://www.tw.coupang.com/products/3M-Scotch-%E5%BC%B7%E5%8A%9B%E9%98%B2%E6%B0%B4%E8%86%A0%E5%B8%B6-2048R-154782916395011?itemId=412493511884812&vendorItemId=412493511852038&sourceType=search&rank=5&searchId=b742d333ad4b4518b46a6ac65cd80b96&q=%E6%B2%B9%E6%BC%86%E8%86%A0%E5%B8%B6
"3M Scotch 防水布膠帶 2048S 48mm x 15Yd, 銀色, 2個",$156,https://www.tw.coupang.com/products/3M-Scotch-%E9%98%B2%E6%B0%B4%E5%B8%83%E8%86%A0%E5%B8%B6-2048S-48mm-x-15Yd-154783293865999?itemId=412493558022158&vendorItemId=412493558005770&sourceType=search&rank=6&searchId=b742d333ad4b4518b46a6ac65cd80b96&q=%E6%B2%B9%E6%BC%86%E8%86%A0%E5%B8%B6
"3M 車輛覆蓋膠帶, 1個",$48,https://www.tw.coupang.com/products/3M-%E8%BB%8A%E8%BC%9B%E8%A6%86%E8%93%8B%E8%86%A0%E5%B8%B6-21005802992688?itemId=21009958353465&vendorItemId=21090142166138&sourceType=search&rank=7&searchId=b742d333ad4b4518b46a6ac65cd80b96&q=%E6%B2%B9%E6%BC%86%E8%86%A0%E5%B8%B6
"3M Scotch 強力防水膠帶 2048W 大, 白色, 3個",$163,https://www.tw.coupang.com/products/3M-Scotch-%E5%BC%B7%E5%8A%9B%E9%98%B2%E6%B0%B4%E8%86%A0%E5%B8%B6-2048W-%E5%A4%A7-154783298060288?itemId=278363159625748&vendorItemId=277692490432514&sourceType=search&rank=8&searchId=b742d333ad4b4518b46a6ac65cd80b96&q=%E6%B2%B9%E6%BC%86%E8%86%A0%E5%B8%B6
"3M Scotch 防水布膠帶 2048D 48mm x 15yd, 黑色, 6捲",$466,https://www.tw.coupang.com/products/3M-Scotch-%E9%98%B2%E6%B0%B4%E5%B8%83%E8%86%A0%E5%B8%B6-2048D-48mm-x-15yd-154782505320451?itemId=278362190757907&vendorItemId=278363155431425&sourceType=search&rank=9&searchId=b742d333ad4b4518b46a6ac65cd80b96&q=%E6%B2%B9%E6%BC%86%E8%86%A0%E5%B8%B6
